pid	date	house_code	house_no	debate_section_topic	debate_section_id	contribution	order_in_discourse
#EndaKenny	2017-12-05	dail	32	Personal Explanation by Member	dbsect_36	In the Dáil on 17 November 2004 statements were allowed on the abduction and murder of Margaret Hassan, an Irish national in Iraq. During the course of those statements I said Margaret Hassan had converted to Islam. This statement was untrue. Margaret Hassan was a devout Catholic who continued to practice her religion during the years she was in Iraq. I wish, therefore, to have the Official Report for the Dáil of 17 November 2004 corrected to indicate that Margaret Hassan had not converted to Islam but was, in fact, a devout and practising Catholic. I regret not having done so prior to this. While her body has never been recovered, I hope some day that will happen and that she will receive a Christian burial.	spk_264
#EndaKenny	2017-10-10	dail	32	Financial Resolution No. 3: Intangible Assets	dbsect_13	I thought the Leas-Cheann Comhairle might allow me to speak to the good Deputies here.	spk_144
#EndaKenny	2017-06-14	dail	32	Resignation of Taoiseach	dbsect_2	A Cheann Comhairle, tá orm a chur in iúl duit gur éirigh mé as oifig mar Thaoiseach inné trína chur sin in iúl don Uachtarán de bhun an Bhunreachta. Yesterday I resigned from the office of Taoiseach by placing my resignation in the hands of the President, pursuant to the Constitution.	spk_2
#EndaKenny	2017-06-14	dail	32	Nomination of Taoiseach	dbsect_3	Tairgim:Go n-ainmneoidh Dáil Éireann an Teachta Leo Varadkar le bheith ceaptha ag an Uachtarán mar Thaoiseach. I move:That Dáil Éireann nominate Deputy Leo Varadkar for appointment by the President to be Taoiseach. Having worked closely with Deputy Varadkar throughout his political career I am confident that he will carry out the role of An Taoiseach with energy, integrity and skill. From his deep involvement in the Young Fine Gael movement as a young student to his election to Fingal County Council in 2004 and his election to this House, Dáil Éireann, in 2007, Deputy Varadkar has demonstrated the drive and the commitment that are required to succeed in politics. Immediately upon his election to this House I appointed him to the Fine Gael Front Bench, first in the enterprise brief and later as spokesman on energy and communications. In both roles he worked diligently in developing new and innovative policy proposals. Since then I had the privilege of being first elected Taoiseach in 2011 and have had the privilege of appointing Deputy Varadkar to three separate Cabinet positions, as Minister for Transport, Tourism and Sport, Minister for Health and more recently as Minister for Social Protection. In each of these Ministries Deputy Varadkar has had significant achievements, whether the revitalisation of the tourism industry, the oversight of The Gathering, stabilising the health service and rolling out free general practitioner, GP, care for children younger than six years or increasing the weekly payments to those dependent on social welfare. In 2011 the Irish people elected a new Government to rescue the economy, to get Ireland working again and Deputy Varadkar in his Ministries was central to that work. Today our country is in a much stronger position than previously, the troika has left, unemployment has fallen dramatically and the public finances are in very good shape. However, many challenges remain, not least in areas such as health and housing and child poverty. We must continue to manage the economy carefully so that it generates the resources that we need to rebuild our essential public services. As Taoiseach, Deputy Varadkar will meet these challenges head on, including Brexit and Ireland's future place in the European Union. As the country's youngest holder of this office he will speak for a new generation of Irishwomen and Irishmen. He represents a modern, diverse and inclusive Ireland and will speak for it like no other, an Ireland in which each person can fulfil his or her potential and live his or her dreams. I wish Deputy Varadkar and his team every success in the challenges that lie ahead. I have no doubt but that he will build on the solid foundations on which our country now stands and that he will see that it is managed carefully in the people's interests and that the decisions his Government will make will always hold the people as central to those decisions. I therefore commend his name to the House for selection as Taoiseach of Ireland.	spk_3
#EndaKenny	2017-06-13	dail	32	Resignation of Taoiseach	dbsect_2	"Go raibh maith agat, a Cheann Comhairle. Nach iontach ar fad go bhfuil slua mór anseo inniu. Ba mhaith liom a chur in iúl duit, a Cheann Comhairle, tar éis ghnó na Dála seo, go mbeidh mé ag dul amach go hÁras an Uachtaráin, go dtabharfaidh mé litir ag éirí as an bpost seo chuig an Uachtarán agus go mbeidh sé sin ag dul i bhfeidhm láithreach.I was hoping that having said that much, I could leave quickly and quietly but the business of the Dáil is such that I no longer have any control over how it is to be conducted. The prospect of making a speech or listening to them, either of glorification or flagellation, is not something that I really relish because this has never been about me. It has always been about the problems and challenges our people and country face. That said, I am very happy to have the opportunity to thank the Ceann Comhairle, his predecessors and all the staff of the House for their assistance and unfailing courtesy not just over the last six years as Taoiseach but over the past 42 years since I have been a Member of the House. It was Teddy Roosevelt who said ""Far and away the best prize that life has to offer is the chance to work hard at work worth doing."" I have been truly blessed I have had that chance. I am eternally grateful to the Irish people and particularly the people of Mayo for repeatedly giving me that opportunity. I really believe that politics is work worth doing, a noble profession. Despite the many scandals and disappointments, I believe the vast majority of people elected to this House are here because we have an interest in and love for our communities and country and we wish to make a difference. For me, cynicism is always an easy cop-out. The true measure of worth and courage is to keep trying again and again, knowing that much of that effort will go unrewarded. I understand the people's disillusionment with politics and the political process. I believe that a first step towards overcoming that might be for us as politicians to treat one other with a greater degree of respect. We can argue vehemently the merits of issues or measures without questioning one another's motives or intent. Politics is always about people and government is always about making decisions. For my own part, I am the first to acknowledge I have not got everything right but I can honestly say my motivation was always what I believed was in the best interests of the Irish people. I thank my colleagues in government for their efforts and support in trying to make an unprecedented and difficult situation work. I also wish to recognise the contributions of the Members opposite, of the Fianna Fáil Party with their leader, Deputy Micheál Martin. It would be remiss of me not to mention the Labour Party for its enormous contribution to the success of the last Government, which under the leadership of Eamon Gilmore and Deputy Joan Burton, with the central involvement of the current leader of the Labour Party, Deputy Brendan Howlin, played a critical role in the rescue of the economy. I thank them all for that. To my party colleagues, I want to say it has been a privilege and a pleasure to have had the opportunity to lead the party for 15 years, and the last six years in government. I wish them all good health to continue the work to overcome and deal with the many challenges that lie ahead.  I passed through Strade recently, which is the birthplace and final resting place of Michael Davitt. To paraphrase what he said in his will to the Irish people, to all my friends I leave kind thoughts, to others I express my fullest forgiveness and to Ireland my undying prayer for absolute freedom and independence, which it has always been my ambition to achieve for her. I hope that in the two Governments I have led, we have made a modest contribution towards that ambition. "	spk_2
#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	Deputy Martin is asking what action the Government took on the basis of the circumstances in which we found ourselves in 2011. Some €20 billion had been invested by the taxpayer. Jobs were haemorrhaging by the tens of thousands, interest rates on money borrowed by the country were 15% and unemployment was rising. We set out to improve that position, and that is what has happened in terms of the interest rates on the promissory note and the leverage we have at a European level. As I said, €20 billion of taxpayers' money was put into what was supposed to be the greatest deal of all, that is, a €64 billion debt burden on our people. We recovered €6.6 billion through capital repayments, interest, income and fees. The State still owns 99.9% of the ordinary share capital and a further €0.2 billion has been paid to the State through the bank levy. The primary objective of the State was to recover all of the investment from AIB. The Minister for Finance believes that is a realistic objective over a period of time. I said to Deputy Martin yesterday that the sale of the bank shares would not result in any beneficial impact on the general Government balance as it would not be counted as revenue. Therefore, there is no increased capacity to spend. The proceeds from any IPO would be used to pay down debt, and the Minister has made that perfectly clear. We are now in the process of being in a much stronger position than we were, with almost full employment, and the deficit is to be eliminated next year. There are serious challenges in terms of the level of personal debt that applies.  The negotiations are now beginning, with the Minister for Public Expenditure and Reform, on an extension of the Lansdowne Road agreement and a review of the capital programme. Significant amounts of money still remain unallocated. The Government has made decisions on the unprecedented levels of money available for dealing with the housing crisis.  As I have pointed out, the Government has made decisions to work with the European Investment Bank on further, long-term, low interest funds for major pieces of infrastructure. The challenges ahead are ones the Government is already looking at, not in the way Governments of the past looked at the development of a spatial strategy. People on this side wrote down 53 towns to be developed, but nothing ever happened.  Ireland will increase its population by 1 million people over the next number of years and we will need 500,000 houses. We have to consider how those people will be transported. The Minister for Communications, Climate Action and Environment is delivering elements of the programme for broadband and a national contract is to be issued for that next year. There is a contract in place with Eir for the provision of fibre broadband to homes in many places. The Minister has been very clear that now is the optimum time to dispose of a portion of AIB, leaving the State with a very significant holding. Obviously, advice was received on a constant basis but the opportunity did not present itself in the way it does now. It is not a case of not examining the infrastructure requirements we have. They are very big priorities for Government. In this particular case, as has been pointed out, it is a transaction that does not result in any increased spending money and will, therefore, be used to write down debt, as the Minister has confirmed on many occasions.	spk_86
#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	The Minister for Finance has repeatedly identified the particular demographics of this country having regard to these rules. Money has to be paid back and capital is treated differently from current funding. It is not a case of not focusing on the priorities we have all identified. The Government has put forward €5 billion for housing.	spk_88
#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	The problem here is to get the system moving from the total collapse of a number of years ago to provide the number of houses, social and everything else, that is now needed. The Minister has raised the question of the treatment of capital at European level in his discussions with finance ministers but it has to be paid back. I know Deputy Martin supports the proportionate sale of AIB here. Obviously, the question of demographics has been raised by us repeatedly and we have identified the kind of country we would like to see and the infrastructure it will require over the next ten, 15 and 20 years. There is a need for increased capital expenditure, but one has to have the engine of an economy to drive that. Clearly from a European point of view, investments that will come from the loan process with the European Investment Bank will have a significant impact on some of the very major infrastructure projects that lie ahead.	spk_91
#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	I am not sure what kind of speech that is. I thank the Deputy for his words. If I recall properly, I remember Deputy Adams as president of his party, coming in here week after week saying we should default.	spk_98
#EndaKenny	2017-05-31	dail	32	Leaders' Questions	dbsect_20	"His mantra was ""burn the bondholders"" and he was opposed to everything European. He campaigned actively against nine referenda in which the Irish people voted."	spk_100
