pid	date	house_code	house_no	debate_section_topic	debate_section_id	contribution	order_in_discourse
#LeoVaradkar	2024-02-14	dail	33	Ceisteanna ó Cheannairí - Leaders' Questions	dbsect_9	I thank the Deputy and wish her and everyone in the House a happy St. Valentine's Day. It is very clear that we have significant problems in RTÉ. We see a culture of poor governance when decisions were not made or not made properly. We see a culture of arrogance from some of the senior people who were in charge of that organisation. We also see a wider culture of entitlement, a belief that the revenue from the licence fee should belong to RTÉ either entirely or for the greatest part. That sense of entitlement and thinking went back to the era when we had to fly Aer Lingus and had to get our electricity from the ESB. Things have moved on a lot since then. There is much more to public service broadcasting than RTÉ. I do not agree that there has been no accountability. A number of people have resigned from their posts. People have been called in before the Oireachtas committee and have accounted for their actions. Those who have not yet done so should in my view. I want to make that very clear. If any evidence of criminality or breaches of corporate law or company law are picked up in the audits, they will be referred to the Corporate Enforcement Authority. To date, that has not occurred but it may yet occur. In the meantime, the Government will decide on a new means of funding public service broadcasting. That must be a method that is fair, one that says to people who use and benefit from public service broadcasting that they should bear some of the cost. That is only fair. It also needs to say very clearly that it is not all about RTÉ. It is also about other forms of public service broadcasting, including that provided by local radio and local media, which report on council meetings and court proceedings, and also more widely supporting bursaries for journalists and encouraging international correspondents, whom we do not have enough of when we look at our news in Ireland. All that is really important because if there is one thing I have seen change dramatically over the course of the past 15 or 20 years in politics, it is how people get their information and news. More so than ever, reliable sources of information are required because people simply cannot trust news and information stories they see online. Unfortunately, many people do and that is to the detriment of our democracy, not just here but also abroad. The TV licence remains the law. The money does not all go to RTÉ; some of that goes to the public service broadcasting fund. It goes to Irish language programming, children's programming and news. Some of it helps to pay staff in RTÉ who have nothing to do with this at all and, I believe, must feel very demoralised at the moment because of all that is going on.I believe people should obey the law and pay their taxes and charges. It would be an affront and an insult to the majority of decent law-abiding citizens who have paid their TV licence fee to grant an amnesty to those who did not. It would be profoundly unfair. If we granted an amnesty to those who did not pay, we would come under pressure to provide rebates for those who did. Has the Deputy considered that? Is that also her party's policy? 	spk_79
#LeoVaradkar	2024-02-14	dail	33	Ceisteanna ó Cheannairí - Leaders' Questions	dbsect_9	It is not. There are a number of options. One option is direct Exchequer funding but that funding might otherwise go to education, health or pensions, for example, and it would potentially give future governments undue influence over RTÉ if RTÉ was funded directly from the Exchequer. We know there is somebody in this House who might be head of the next Government and who is suing RTÉ at the moment. It would be a huge conflict of interest to have people who are suing RTÉ deciding how much money it gets paid. That is not the kind of democracy we want. It is the kind of thing we are starting to see happen in the United States and other places. I would not want that to be the case in our State. An alternative option is a household media charge collected by Revenue. That needs to be considered. Those options are under consideration by the Government and we will make a decision on that this year but it will require legislation-----	spk_81
#LeoVaradkar	2024-02-14	dail	33	Ceisteanna ó Cheannairí - Leaders' Questions	dbsect_9	-----and it will require a system to set it up. In the meantime, the TV licence remains the law. People should obey the law, pay charges they are liable to pay and pay their taxes. That is a very simple thing. I do not believe in tax amnesties and never did. I do not think the policy the Deputy is pursuing is the right one. It is a return to left populism and is a mistake.	spk_83
#LeoVaradkar	2024-02-14	dail	33	Ceisteanna ó Cheannairí - Leaders' Questions	dbsect_9	I cannot give a date today but we should make a decision on this in the coming weeks, and certainly in the coming months. I agree that at a time when misinformation and disinformation are rife and are undermining democracy here and around the world, it is important to fund public service media and broadcasting. That cannot just be about RTÉ for reasons I think we will all agree on. The current model is to fund it through a mixture of the Exchequer and the TV licence. We will examine the options of a full Exchequer system or a system like the Deputy proposes, which is combined Exchequer funding and a household charge. We will weigh up the options and decide how it is done. There will always need to be an element of Exchequer funding. The current TV licence exempts people on very low incomes and older people. That would have to be the case for any household charge too. The point the Deputy makes is very valid. Even if I may personally favour an Exchequer-funded model, which happens and works in some countries, I have a concern about such a model. It is that not this Government but perhaps a future government, led by the Deputy opposite, would have full control over the funding of RTÉ and public service broadcasting. There is a gross conflict of interest in somebody who is suing RTÉ deciding how much funding RTÉ would get. That would be a big problem for our democracy and we have to bear that in mind. 	spk_85
#LeoVaradkar	2024-02-14	dail	33	Ceisteanna ó Cheannairí - Leaders' Questions	dbsect_9	The current position is the TV licence is the law. I encourage people to pay it, as I do and always have. It is not just about RTÉ; it is about Irish-language broadcasting, public service media, children's programming and the broadcasting fund, which supports many broadcasters and creators in the private sector who have their own small businesses. We need to bear that in mind when deciding whether to pay the TV licence fee.It is linked to television at the moment but that is old-fashioned. I know there are people who have suggested it be linked to having any sort of device but I do not think that is any more practical, quite frankly. The possibility of applying it to households could make sense and that is the proposal the Social Democrats as a party are making, although I think we would still need to exempt pensioners and very low-income households because it would be very regressive otherwise and I think the Deputy is agreed on that too. As any change will require legislation and will requires a system to be set up, there will not be a new system this year and the licence fee will continue to apply at least for the entirety of this year. We have to consider all of those options. In terms of a levy on social media companies, I am not sure that is a great idea. We already have a levy that is going to fund the media commission and that is due to be imposed on digital companies. We already have VAT on broadband, for example, and we have corporate profit taxes, which are being increased this year. There are already a number of taxes there and I am not sure it would be the right approach to add additional tax on top of that.	spk_87
#LeoVaradkar	2024-02-14	dail	33	Ceisteanna ó Cheannairí - Leaders' Questions	dbsect_9	At the outset, I thank Deputy Naughten for raising this important issue and I know rare diseases are a cause the Deputy has championed for many years. I know the effect that rare diseases can have on many patients living with them and, at times, it can be difficult to assess the appropriate medicines, technologies and diagnostic tools. We made commitments in the programme for Government to ensure increased focus on rare diseases and people living with them and we are now developing a new rare diseases strategy, which will renew that focus. A rare diseases policy unit has been established in the Department of Health and a national rare diseases steering group was also established in December and has met three times since. The development of a new strategy will look to the future and the needs of those patients and families living with rare diseases and diagnoses. We expect to have the new plan ready well before the end of this year. The voices of patients and families will be central to the development of this policy and a patient forum has been established to ensure exactly that. In regard to the specific issue of the national laboratory capacity for genetic testing, we are fully committed to advancing genetic and genomic medicine in Ireland and building a national service. The central theme of the national strategy for accelerating genetic and genomic medicine in Ireland is to strengthen infrastructure and drive advances in genetics and genomics. This includes actions in regard to laboratory capacity. In particular, the National Genetics and Genomics Office is working to enhance existing laboratory infrastructure to promote the development and use of innovative technologies for testing, sample tracking and reporting. A national centre of excellence in genomic testing and bioinformatics will be established as a single entity and that will sit under the governance of the HSE. The national centre will work in collaboration with relevant clinical specialties and existing laboratory capacity in alignment with the new health regions. A genomics laboratory operating model is now being developed and, as part of this, for 2024, there is the development of a national genomic test directory for rare and inherited diseases.	spk_89
#LeoVaradkar	2024-02-14	dail	33	Ceisteanna ó Cheannairí - Leaders' Questions	dbsect_9	I understand that some of the posts that were approved in 2023 were affected by the temporary pause on new recruitment. A new workforce plan for 2024 is being developed by the HSE and it will be able to increase its total staffing levels by between 2,000 and 3,000 over the course of this year. This will include genetic counsellors and the development of the genomic resource associate role to help patients navigate the genetic and genomic care pathway and improve the co-ordination of care. The €2.7 million provided to fund the implementation of the national strategy for genetics and genomics included the establishment of the national office of genomics and the appointment of key staff. In regard to the location of the new laboratory and whether it remains in Crumlin or not, I do not have a satisfactory answer for the Deputy today but I will discuss it with the Minister for Health and come back to him as soon as I can.	spk_91
#LeoVaradkar	2024-02-14	dail	33	Ceisteanna ó Cheannairí - Leaders' Questions	dbsect_9	Gabhaim buíochas leis an Teachta as a cuid ceisteanna. Caithfidh sos cogaidh a bheith ann anois. Tá an iomarca daoine básaithe agus gortaithe sa Phalaistín. This morning, the Spanish Prime Minister, Pedro Sánchez, and I wrote formally to the President of the European Commission, Ursula Von Der Leyen, expressing once again our deep concern at the deteriorating situation in Gaza and calling for an urgent assessment of whether Israel is in breach of the human rights obligations under the EU-Israel association agreement. The letter states that the expanded Israeli military operation in Rafah poses a grave and imminent threat that the international community must confront urgently. If the Commission concludes that Israel is in breach of its obligations under the agreement, then the Commission should propose a response, although suspension may well require unanimity of member states. I will set out briefly seven concrete actions the Government has taken in respect of this crisis in the Middle East. First, we were one of the first Governments in the world to call for a ceasefire. Second, we have increased our aid to the UN and UNRWA when other countries have suspended it because of allegations that some of the staff were involved in the 7 October massacre. Third, we have used our voice at the EU and the UN in support of the rights of Palestinian people. Fourth, we have sought that there be sanctions against violent settlers in the West Bank at EU level, and if we cannot get agreement with that at EU level, we will go ahead and do it with other like-minded EU member states. We have intervened in the International Criminal Court case on Israel's occupation of the Palestinian territories and the Attorney General will travel personally to The Hague to make our case on 22 February. We have joined with Spain today in calling for the suspension of the EU-Israel association agreement and we are in discussions with other EU member states about recognising the state of Palestine. I want to be clear and honest with the Deputy, however, and with all Members of the House and the Irish people. None of these actions, in themselves, will bring about an end to this war. No war has ever been ended by a court order, the expulsion of an ambassador or the suspension of an agreement. To think so, frankly, is just make-believe. There are only three ways in which a war ends: military victory by one side over the other; a stalemate - a ceasefire like they have had in Korea for 75 years; or a political solution. Our focus is on the political solution and trying to work with our partners and allies, and even countries that are not our partners and allies, in the Arab world, the EU, across America and, indeed, in the global south, to bring about a ceasefire. That is what is needed - an immediate ceasefire so the killing can stop, aid can get in and hostages can be released, as they should be released, moving towards a permanent ceasefire and then a permanent political solution, which is the establishment of two states side by side, living in peace with each other.	spk_93
#LeoVaradkar	2024-02-14	dail	33	Ceisteanna ó Cheannairí - Leaders' Questions	dbsect_9	I really hope we do not make this conflict or these terrible events that are happening in the Middle East to be in any way about us. It is not about us or the differences between the different parties here or between the Government and the Opposition. It is about the civilian population in Israel and the civilian population in the Palestinian territories. I disagree with the Deputy on two counts, even though we agree on most things. First, absolutely nothing Israel is doing at the moment is being done in our name. She has suggested that twice or three times. Absolutely nothing the state of Israel is doing is being done in our name. I want to make that very clear as the Head of Government and on behalf of the Government, at least. Second, I do not accept that we are standing idly by. In my initial response, I set out seven concrete actions we have taken already. When I meet representatives of Palestinians or the Palestinian Authority or leaders of other Arab countries, they thank us for the stance we are taking. We are seen as a country that is showing leadership on this issue, but we have to do it in a way that makes sense, is smart and allows us to continue to try to bring countries with us. At the first meeting of the European Council after this conflict started, we were in a minority in calling for a ceasefire. We are now in the clear majority and we have to ensure we are able to bring people with us - not people who already agree with us, but people who do not yet but might into the future.	spk_97
#LeoVaradkar	2024-02-14	dail	33	Ceisteanna ar Pholasaí nó ar Reachtaíocht - Questions on Policy or Legislation	dbsect_10	I will certainly look into it and see what can be done. Over the past number of years we have tried to improve the financial position of carers. We have increased the carer support grant which is not means tested. We relaxed the means test for the carer's allowance, increased it and extended free GP care to anyone in receipt of the carer's allowance. We will strive to continue on that pathway of improving things for carers. I appreciate that when it comes to respite services we have some real difficulties. Generally speaking that has been down to finding staff who are available to staff these centres. I do not know the exact situation in relation to Cavan at the moment but I will check up on that and come back to the Deputy during the week.	spk_99
