name	age	party	constituency	pid	date	house_code	house_no	debate_section_topic	debate_section_id	contribution	order_in_discourse
Richard Boyd Barrett	57	PBP	Dublin	#RichardBoydBarrett	2024-02-15	dail	33	Sports Funding	dbsect_7	The need for radical reform in RTÉ is obvious from the €450,000 paid to the former financial officer. It is shocking on top of all the revelations about obscene salaries. We need to get to the root of why this stuff happened. Part of the reason was that RTÉ moved away from a public service remit and became too embroiled in advertising and commercial considerations. Then all the executives thought they had to be paid the same as those who work in the corporate sector, abandoning their public service remit. To resolve the matter, we need, as well as reform at the top, direct Exchequer funding that is not reliant on commercial sponsorship. How do we pay for that? We have been arguing for months that a tax should be put on the profits of social media companies. This could easily fund RTÉ through direct Exchequer funding. It would give us additional money for public service broadcasting. The ordinary workers, including crew and others, should not pay the price - nor should the public in terms of the quality of public service broadcasting - for the crimes of a few at the top of RTÉ.	spk_69
Richard Boyd Barrett	57	PBP	Dublin	#RichardBoydBarrett	2024-02-15	dail	33	Television Licence Fee	dbsect_13	The need for radical reform in RTÉ is obvious from the €450,000 paid to the former financial officer. It is shocking on top of all the revelations about obscene salaries. We need to get to the root of why this stuff happened. Part of the reason was that RTÉ moved away from a public service remit and became too embroiled in advertising and commercial considerations. Then all the executives thought they had to be paid the same as those who work in the corporate sector, abandoning their public service remit. To resolve the matter, we need, as well as reform at the top, direct Exchequer funding that is not reliant on commercial sponsorship. How do we pay for that? We have been arguing for months that a tax should be put on the profits of social media companies. This could easily fund RTÉ through direct Exchequer funding. It would give us additional money for public service broadcasting. The ordinary workers, including crew and others, should not pay the price - nor should the public in terms of the quality of public service broadcasting - for the crimes of a few at the top of RTÉ.	spk_69
Richard Boyd Barrett	57	PBP	Dublin	#RichardBoydBarrett	2024-02-15	dail	33	Sustainable Fisheries Sector and Coastal Communities: Statements, Questions and Answers	dbsect_30	I was asked by east coast fishers to relay concerns to the Minister about the threat they see to their industry. It is currently a sustainable shellfish industry which they estimate directly and indirectly results in the employment of approximately 800 people affecting towns and coastal communities and fishers all the way up and down the east coast. The threat they see is from plans to build industrial wind farms on sensitive sand banks. Sand banks particularly close to me are the Kish Bank and the Codling Bank. Fishers and myself would very much advocate in favour of developing renewable energy resources and using the marine potential we have to develop those resources and nobody disputes this. However, we do not think one thing should come at the expense of another. In fact the point the fishers on the east coast make is that European law - I am not a legal expert in this area - is very clear that we cannot displace one industry with another. Where there is an industry and where people are making their livelihood and living in a particular area it is prohibited to displace them and destroy their industry and livelihood in order to make way for another industry. That is precisely what they see as coming down the line as the private corporations - they are all private corporations, most of them not even companies based in this country - are planning to put very big industrial wind farms all the way up and down the east coast on sensitive sand banks which are critical to the sustainability of the shellfish industry and fish spawning grounds. They are very sensitive sites at many levels. The Minister's concern, and the fisher's concern, is in terms of the fishing but the sites are also very sensitive environmentally. The fishers say that the private companies that are being issued licenses, for example at the moment for surveys, are ultimately intending to put big industrial wind farms which will potentially see thousands of enormous wind turbines at very close proximity to our coasts and critically, from the fishers' point of view, on sand banks. The sand banks are critical to the fishers' industry and this will destroy their industry. They are in no doubt of that and that there will be nothing left of their industry at the end of it. These things should be placed further out or on less sensitive sites. If the wind farms go on these sand banks, like the Codling, Kish and others, they will destroy their fishing industry and their livelihoods. There is supposed to be a requirement for serious consultation between developers in these areas and those who make a living - in this case the fishers - but this is not happening. In the case of the developers on the Codling Bank they will not even meet the legal representatives of the fishers. There is no serious engagement and developers are ploughing ahead regardless of the consequences for the fishers. The question the fishers asked me to ask the Minister is what he is doing to safeguard their industry and their livelihoods. They are watching in and are very keen to hear the Minister's response but that is what they want to know. What is the Minister doing to ensure their industry and livelihoods are not destroyed by plans to put wind turbines on these particular locations which are critical to the sustainability of their industry, their incomes and their jobs ?	spk_348
Richard Boyd Barrett	57	PBP	Dublin	#RichardBoydBarrett	2024-02-15	dail	33	Sustainable Fisheries Sector and Coastal Communities: Statements, Questions and Answers	dbsect_30	I will add that the fishers would very much appreciate, given the complaints they are making about the failure of these companies to engage properly with their representatives, particularly in terms of the Codling Bank, that the Minister might look into that and try to ensure that engagement actually takes place and that we do not end up cutting off our nose to spite our face.There is no reason, with floating offshore wind, we cannot put these in different locations now. We have the technology. There does not have to be a trade-off between the imperative of developing renewable energy resources and destroying existing livelihoods in industries or, for that matter, doing other things that may damage our marine and coastal environment. I hope the Minister will look into that east coast side of things because the fishers would very much appreciate it.	spk_350
Richard Boyd Barrett	57	PBP	Dublin	#RichardBoydBarrett	2024-02-14	dail	33	Business Costs for Micro, Small and Medium Enterprises: Motion [Private Members]	dbsect_8	I thank the Regional Group for bringing forward the motion to discuss SMEs and the supports they need. The first thing I want to do is to advocate on behalf of the 26,000 small enterprises who are the taxi drivers of this country. They are very concerned, at the moment, about moves to deregulate the taxi industry that are being spearheaded by some other SMEs that - do not get me wrong - have a legitimate concern, specifically those in the pub trade, restaurants, night entertainment and so on, who have teamed up with Uber and some of these other ride-hailing app people to argue that there is a chronic shortage of taxis and that effectively we need to introduce the Uber-type model for taxis, where anybody can be a taxi driver and where there is complete deregulation. The taxi drivers - 26,000 of them and their families - are very concerned. I agree with them that this is not the way to go. First, huge numbers of those taxi drivers have invested large amounts of money in buying new taxis, often electric vehicles, and they have big loans with the banks. If there is wholesale deregulation of the taxi industry, that will seriously impact on their ability to make a living and, therefore, their ability to pay back loans, which are very large loans in many cases, for expensive new taxis. We should not go down that road. Linked to that, we should also not lower the entry requirements for going into the taxi industry because when people get into a taxi, they need to know they are going to be safe. They need to know they are in a properly regulated taxi with somebody who knows the business, knows the area and is not just somebody who can put themselves on an Uber app with the potential danger that they do not really know who is driving them and so on. That is important. The taxi drivers would say that some of the figures being put out by Uber and some of the others about the chronic shortage taxis are inaccurate. Apparently, FREENOW has very different figures on the availability of taxis. It is certainly the case that at certain times we see long lines of taxis waiting long periods to pick up a fare. The taxi drivers admit that there are pinch points at particular times of the day, or particularly at night. How do we address that? It is unfair to put the burden of solving that problem solely on the shoulders of taxi drivers. We need more frequent or expanded public transport and bus services at night, which can help the small businesses that depend on night time trade but not put an excessive burden on taxi drivers to fill a gap in the provision of late night transport. The other thing is that taxi drivers will point out their safety concerns. Many taxi drivers do not like driving at night because they are worried about their personal safety. It is up to the Government to address those safety concerns but deregulating the taxi industry is not is not the way forward. Critically, the Government, the National Transport Authority and anybody who is looking at this issue needs to engage with the taxi drivers and treat them with respect. The last time we had deregulation of the taxi industry, it was a total disaster for taxi drivers and it should not happen again.  The second group I want to advocate for consists of our many actors, musicians, performers, dancers, writers and directors, of which there are tens of thousands, who have helped contribute to the culture and music of this country - things we often take for granted. They are mostly sole traders. They have a very precarious existence, going from gig to gig, and very a poor income in many cases. Most of our artists and the people who contribute to the films that we see on television or who work in music live in poverty and in very precarious circumstances. They need more support. I believe that the basic income for artists should be extended to all those who work in the in the arts. It is also critically important that the Government addresses the copyright issue in terms of intellectual property rights and royalties - in other words, for writers, directors, actors and so on who are being robbed of the royalties they should get for their performances. They get paid for making a television programme or whatever but then the producers run off of the royalties when the same thing is distributed on Netflix or whatever it is, and they are not getting paid. That is a breach of the copyright directive. The use of buy-out contracts being enforced on writers, directors and performers by producer companies has to stop. It is contrary to the copyright directive, it is contrary to the law and it is an abuse and exploitation of our writers, actors, performers, dancers, musicians, composers and so on. I ask the Government to seriously examine that. Generally, there are some people who rightly want to be small businesses, loan traders and so on. There are other people who are wrongly classified as those things because it suits their employers not to give them proper jobs. That is widespread in a whole number of industries. The arts is another area where it is widespread. If you want to be a small business, that is fine, but if you are actually an employee who is clocking in from nine to five and working from the same person again and again, even if it is episodic or in the gig economy, you should be classified as an employee so that you get your holiday entitlements, sick pay, pension rights and so on and so forth. My last point is on the generality of SMEs. When small and medium enterprise owners come to me, their concern is rates. It is one of the big concerns. It is not fair that a small café pays the same rates, per square metre of the business, as a bank that is making billions of euro in profits. We should have a differential scheme of rates based on revenue and profits, and not one whereby the butcher, the baker and the candlestick maker are paying the same level of rates as huge chains and banks that are making enormous profits. I also believe that we need a not-for-profit insurance company that provides insurance that is actually affordable for small and medium enterprises. Finally, we have to do something about massive rent increases for small businesses that can often put them out of business at a stroke. 	spk_57
Richard Boyd Barrett	57	PBP	Dublin	#RichardBoydBarrett	2024-02-14	dail	33	Taoiseach's Meetings and Engagements	dbsect_14	I have a fundamental problem with the World Economic Forum as a gathering where the world's most profitable and richest companies and billionaires rub shoulders with politicians from around the world, primarily to pursue their own interests rather than the wider interests of society. One thing of interest I notice was that Hines, the wealth and asset management company and owner of a very significant amount of property in this country, was present in Davos this year. That is very telling. The biggest residential development in the country, the Cherrywood development in my own area, is owned by Hines, although it has flipped some of the property and made a lot of profit. It got the land from NAMA at a discount but very modest houses there are going for between €600,000 and €700,000 and rents are running at €2,500 to €3,000 a month. This is totally unaffordable for the vast majority of people. Is that the net result of these kinds of forums? Investors like Hines make an absolute fortune from real estate and residential development in this country but deliver housing that is absolutely unaffordable for the vast majority of working people and rents that are completely unaffordable. In the case of the Cherrywood development, we still do not know how much affordable housing is to be given to us in exchange for the LIHAF funding. There is still wrangling over how much affordable housing we are going to get and whether it will actually be affordable, that is, what the prices will be. Will the Taoiseach comment on that? This wealth and asset management company, Hines, has €95 billion worth of assets around the world. These are the sorts of people who are controlling our housing sector and the consequence of this is utterly unaffordable housing and rents. Does that not say something about the priorities of these corporations that swan around with politicians at the World Economic Forum in Davos?	spk_150
Richard Boyd Barrett	57	PBP	Dublin	#RichardBoydBarrett	2024-02-14	dail	33	Taoiseach's Meetings and Engagements	dbsect_14	The Chinese regime is a brutal, totalitarian regime. It has engaged in across-the-board suppression of any dissent and wholesale persecution of certain groups. The Uyghurs were mentioned. In fact, it has been suggested that the Uyghurs are victims of a possible genocide and certainly victims of a really brutal suppression of an entire national and ethnic group. Did the Taoiseach raise that issue with the Chinese Premier? I do not know much about the philosophy of Falun Gong adherents, and I doubt I would share much of that philosophy, but I know they are a persecuted group. People from that group who live in my area come into my office regularly and did so again recently to report what is happening. I wrote to the Tánaiste about it a while ago. Their relatives were grabbed and arrested because they are supporters of Falun Gong. That happens very regularly, with horrific accounts of the treatment of people who subscribe to that particular group. There is also the absolutely brutal suppression of democracy in Hong Kong. Anybody who articulates any dissent or opposition to the regime will suffer pretty brutal consequences. Did the Taoiseach raise those issues with the Chinese Premier? The inconsistency of European Governments, including our own, on the principles of human rights is stark. We are very quick to jump up and down about the lack of respect for human rights of certain regimes but we say less about others, perhaps because we see it as in our economic interest to do so. China is one such regime, the United States is another and, for many years, Israel has been another. The list goes on and includes Saudi Arabia, etc. I would like to know what human rights issues the Taoiseach raised and what kind of response he got from the Chinese Premier.	spk_159
Richard Boyd Barrett	57	PBP	Dublin	#RichardBoydBarrett	2024-02-14	dail	33	Taoiseach's Meetings and Engagements	dbsect_14	The countries the Taoiseach visited are very much on the front line of what I will call the escalating new Cold War tensions between the expanded NATO and Putin and his bloc, as it were. It is worth noting that the Balkans is the crossroads of competing empires. Because of that, it was the place where the First World War began, and historically it has been so. These empires are banging up against each other with competing priorities, objectives and interests, and it has resulted in some pretty horrific conflicts. It is worth bearing in mind that historical context when we look at what is a very worrying situation. We all know Putin's invasion of Ukraine was an absolute disgrace. It was illegal, criminal, brutal and imperialist-driven. Equally, the expansion of NATO has not exactly helped matters, particularly when after the fall of the Soviet Union it was strongly urged by people like Gorbachev that it would not be a good idea, and that it would lead to conflict. Indeed, it has certainly contributed to it At his meetings, did the Taoiseach discuss NATO, the new Cold War and the dangerous tensions that are emerging? It is in the context of a new tailored arrangement between Ireland and NATO that has just been announced, which means we are going to be in a new formal co-operation arrangement with NATO. Is that not a really egregious breach of our neutrality? It is an arrangement with an alliance that is now even more discredited because its leading members, the United States Britain and Germany, are all up their necks in complicity with the Israel's crimes against the Palestinian people. They have really showed their moral bankruptcy and their true colours. If Putin is a nasty imperialist, is it not the case that equally, the dominant powers in NATO have shown themselves to be morally bankrupt, driven by self-interest and willing to support and tolerate some of the most horrific crimes? It should be all the more reason for us to keep a million miles away from NATO.	spk_162
Richard Boyd Barrett	57	PBP	Dublin	#RichardBoydBarrett	2024-02-14	dail	33	Taoiseach's Meetings and Engagements	dbsect_14	I am saying it is not a good thing.	spk_167
Richard Boyd Barrett	57	PBP	Dublin	#RichardBoydBarrett	2024-02-14	dail	33	Taoiseach's Meetings and Engagements	dbsect_14	It did not force them.	spk_169
